state,date,covidbeds,totalinpatientbeds
WA,9/10/20,389,9432
WI,9/10/20,554,12422
OH,9/11/20,1163,27847
OK,9/11/20,558,9153
PA,9/11/20,1009,26015
SC,9/11/20,737,9133
TN,9/11/20,971,16036
UT,9/11/20,171,4918
VA,9/11/20,1060,15723
WA,9/11/20,378,9431
WI,9/11/20,574,12414
OH,9/12/20,1130,27888
OK,9/12/20,549,9120
PA,9/12/20,991,25634
SC,9/12/20,716,9097
TN,9/12/20,936,15906
UT,9/12/20,170,4949
VA,9/12/20,1013,15710
WA,9/12/20,375,9380
WI,9/12/20,586,12427
OH,9/13/20,1092,27856
OK,9/13/20,568,9084
PA,9/13/20,956,25527
SC,9/13/20,707,9109
TN,9/13/20,934,15897
UT,9/13/20,163,4922
VA,9/13/20,1029,15713
WA,9/13/20,364,9355
WI,9/13/20,583,12418
OH,9/14/20,1162,27886
OK,9/14/20,602,9110
PA,9/14/20,981,25609
SC,9/14/20,722,9103
TN,9/14/20,960,15875
UT,9/14/20,175,4909
VA,9/14/20,1090,15740
WA,9/14/20,371,9266
WI,9/14/20,571,12391
OH,9/15/20,1192,28110
OK,9/15/20,555,9137
PA,9/15/20,1047,25783
SC,9/15/20,763,9193
TN,9/15/20,980,15988
UT,9/15/20,142,4919
VA,9/15/20,1051,15744
WA,9/15/20,386,9422
WI,9/15/20,590,12407
OH,9/16/20,1143,28124
OK,9/16/20,557,9196
PA,9/16/20,1020,25852
SC,9/16/20,753,9191
TN,9/16/20,994,15923
UT,9/16/20,171,4944
VA,9/16/20,1044,15713
WA,9/16/20,380,9449
WI,9/16/20,614,12433
OH,9/17/20,1110,28127
OK,9/17/20,565,9206
PA,9/17/20,919,25733
SC,9/17/20,776,9205
TN,9/17/20,953,15939
UT,9/17/20,174,4935
VA,9/17/20,1026,16110
WA,9/17/20,405,9447
WI,9/17/20,559,12418
OH,9/18/20,1117,28044
OK,9/18/20,580,9194
PA,9/18/20,910,25729
SC,9/18/20,794,9188
TN,9/18/20,922,15941
UT,9/18/20,167,4954
VA,9/18/20,1034,16243
WA,9/18/20,384,9446
WI,9/18/20,561,12403
OH,9/19/20,1087,27864
OK,9/19/20,621,9088
PA,9/19/20,852,26910
SC,9/19/20,787,9038
TN,9/19/20,877,15771
UT,9/19/20,191,4887
VA,9/19/20,1013,16281
WA,9/19/20,393,9407
WI,9/19/20,580,12432
OH,9/20/20,1002,27858
OK,9/20/20,630,9068
PA,9/20/20,816,26806
SC,9/20/20,737,9004
TN,9/20/20,850,15750
UT,9/20/20,164,4905
VA,9/20/20,1048,16275
WA,9/20/20,399,9399
WI,9/20/20,583,12432
OH,9/21/20,1074,27904
OK,9/21/20,639,9256
PA,9/21/20,862,26893
SC,9/21/20,733,9044
TN,9/21/20,896,15814
UT,9/21/20,169,4898
VA,9/21/20,1011,16287
WA,9/21/20,434,9427
WI,9/21/20,644,12412
OH,9/22/20,1048,28137
OK,9/22/20,617,9353
PA,9/22/20,918,27041
SC,9/22/20,747,9078
TN,9/22/20,910,15824
UT,9/22/20,194,4951
VA,9/22/20,1006,16354
WA,9/22/20,451,9431
WI,9/22/20,731,12422
OH,9/23/20,1021,28120
OK,9/23/20,617,9680
PA,9/23/20,962,27148
SC,9/23/20,769,9093
TN,9/23/20,890,15834
UT,9/23/20,203,4929
VA,9/23/20,1073,16359
WA,9/23/20,442,9442
WI,9/23/20,786,12414
OH,9/24/20,1038,28176
OK,9/24/20,595,9643
PA,9/24/20,966,27081
SC,9/24/20,724,9131
TN,9/24/20,916,15819
UT,9/24/20,190,4967
VA,9/24/20,1070,16334
WA,9/24/20,446,9562
WI,9/24/20,815,12414
OH,9/25/20,1082,28108
OK,9/25/20,622,9632
PA,9/25/20,938,27101
SC,9/25/20,688,9106
TN,9/25/20,876,15840
UT,9/25/20,205,4944
VA,9/25/20,1046,16444
WA,9/25/20,432,9548
WI,9/25/20,830,12394
OH,9/26/20,1028,27958
OK,9/26/20,616,9593
PA,9/26/20,879,26859
SC,9/26/20,694,9071
TN,9/26/20,842,15822
UT,9/26/20,194,4939
VA,9/26/20,991,16427
WA,9/26/20,436,9419
WI,9/26/20,865,12347
OH,9/27/20,1083,27970
OK,9/27/20,612,9574
PA,9/27/20,861,26779
SC,9/27/20,652,9050
TN,9/27/20,872,15791
UT,9/27/20,211,4937
VA,9/27/20,1001,16425
WA,9/27/20,411,9400
WI,9/27/20,856,12354
OH,9/28/20,1111,27656
OK,9/28/20,641,9608
PA,9/28/20,934,26878
SC,9/28/20,656,9041
TN,9/28/20,898,15480
UT,9/28/20,217,4922
VA,9/28/20,1028,16432
WA,9/28/20,400,9389
WI,9/28/20,910,12419
OH,9/29/20,1171,27653
OK,9/29/20,677,9690
PA,9/29/20,1042,27032
SC,9/29/20,686,9095
TN,9/29/20,968,15872
UT,9/29/20,239,4927
VA,9/29/20,989,16444
WA,9/29/20,403,9380
WI,9/29/20,952,12474
OH,9/30/20,1184,28085
OK,9/30/20,672,9725
PA,9/30/20,1004,27259
SC,9/30/20,671,9084
TN,9/30/20,1004,15848
UT,9/30/20,244,4957
VA,9/30/20,966,16435
WA,9/30/20,366,9447
WI,9/30/20,979,12368
OH,10/1/20,1170,28059
OK,10/1/20,637,9722
PA,10/1/20,1014,27418
SC,10/1/20,642,9097
TN,10/1/20,995,15862
UT,10/1/20,233,4958
VA,10/1/20,942,16414
WA,10/1/20,360,9456
WI,10/1/20,904,12471
OH,10/2/20,1131,27960
OK,10/2/20,655,9651
PA,10/2/20,1023,27339
SC,10/2/20,652,9080
TN,10/2/20,996,15774
UT,10/2/20,212,4950
VA,10/2/20,980,16403
WA,10/2/20,365,9466
WI,10/2/20,967,12423
OH,10/3/20,1190,27915
OK,10/3/20,673,9611
PA,10/3/20,1025,27168
SC,10/3/20,616,8992
TN,10/3/20,962,15759
UT,10/3/20,214,4931
VA,10/3/20,935,16374
WA,10/3/20,377,9431
WI,10/3/20,972,12259
OH,10/4/20,1142,27851
OK,10/4/20,689,9621
PA,10/4/20,1011,27054
SC,10/4/20,612,8970
TN,10/4/20,1018,15702
UT,10/4/20,166,4918
VA,10/4/20,1012,17011
WA,10/4/20,362,9428
WI,10/4/20,1046,12313
OH,10/5/20,1260,27663
OK,10/5/20,726,9648
PA,10/5/20,1062,27197
SC,10/5/20,630,8983
TN,10/5/20,1092,15765
UT,10/5/20,205,4897
VA,10/5/20,1151,18904
WA,10/5/20,366,9462
WI,10/5/20,1084,12483
OH,10/6/20,1320,28195
OK,10/6/20,757,9829
PA,10/6/20,1122,27375
SC,10/6/20,689,9048
TN,10/6/20,1123,15845
UT,10/6/20,231,4919
VA,10/6/20,1200,18932
WA,10/6/20,412,9465
WI,10/6/20,1230,12463
OH,10/7/20,1416,28537
OK,10/7/20,751,9846
PA,10/7/20,1166,26814
SC,10/7/20,710,9067
TN,10/7/20,1139,15858
UT,10/7/20,231,4917
VA,10/7/20,1066,17046
WA,10/7/20,396,9454
WI,10/7/20,1261,12324
OH,10/8/20,1419,28293
OK,10/8/20,803,9841
PA,10/8/20,1204,26879
SC,10/8/20,708,9088
TN,10/8/20,1175,15831
UT,10/8/20,250,4907
VA,10/8/20,999,16426
WA,10/8/20,390,9461
WI,10/8/20,1365,12316
OH,10/9/20,1379,28677
OK,10/9/20,774,9784
PA,10/9/20,1252,27038
SC,10/9/20,699,9046
TN,10/9/20,1146,15837
UT,10/9/20,246,4887
VA,10/9/20,942,16280
WA,10/9/20,400,9492
WI,10/9/20,1386,12361
OH,10/10/20,1358,28496
OK,10/10/20,764,9781
PA,10/10/20,1130,26624
SC,10/10/20,667,8959
TN,10/10/20,1114,15792
UT,10/10/20,266,4894
VA,10/10/20,903,16249
WA,10/10/20,398,9444
WI,10/10/20,1342,12434
WV,9/10/20,218,5659
WV,9/11/20,207,5658
WV,9/12/20,218,5641
WV,9/13/20,210,5640
WV,9/14/20,207,5656
WV,9/15/20,220,5659
WV,9/16/20,232,5658
WV,9/17/20,233,5665
WV,9/18/20,231,5576
WV,9/19/20,215,5331
WV,9/20/20,216,5295
WV,9/21/20,224,5341
WV,9/22/20,227,5325
WV,9/23/20,238,5326
WV,9/24/20,240,5389
WV,9/25/20,222,5368
WV,9/26/20,237,5350
WV,9/27/20,228,5291
WV,9/28/20,233,5368
WV,9/29/20,235,5395
WV,9/30/20,221,5385
WV,10/1/20,207,5369
WV,10/2/20,223,5344
WV,10/3/20,228,5400
WV,10/4/20,220,5292
WV,10/5/20,211,5322
WV,10/6/20,220,5340
WV,10/7/20,232,5366
WV,10/8/20,220,5365
WV,10/9/20,232,5364
WV,10/10/20,227,5322
WY,9/10/20,27,1515
WY,9/11/20,30,1524
WY,9/12/20,33,1524
WY,9/13/20,35,1518
WY,9/14/20,29,1524
WY,9/15/20,34,1518
WY,9/16/20,29,1524
WY,9/17/20,33,1524
WY,9/18/20,32,1525
WY,9/19/20,32,1525
WY,9/20/20,30,1525
WY,9/21/20,46,1516
WY,9/22/20,36,1516
WY,9/23/20,28,1516
WY,9/24/20,35,1512
WY,9/25/20,41,1506
WY,9/26/20,44,1512
WY,9/27/20,45,1512
WY,9/28/20,43,1512
WY,9/29/20,45,1512
WY,9/30/20,54,1511
WY,10/1/20,47,1511
WY,10/2/20,43,1510
WY,10/3/20,52,1510
WY,10/4/20,61,1509
WY,10/5/20,65,1416
WY,10/6/20,72,1433
WY,10/7/20,81,1432
WY,10/8/20,74,1396
WY,10/9/20,73,1393
WY,10/10/20,73,1393
