state,date,icubeds,totalicubeds
CT,10/7/20,545,1046
ID,10/7/20,205,298
MD,10/7/20,930,1341
AL,10/8/20,1270,1502
AR,10/8/20,772,955
CA,10/8/20,5012,7158
CT,10/8/20,526,1046
ID,10/8/20,182,298
MD,10/8/20,944,1326
AL,10/9/20,1323,1518
AR,10/9/20,750,953
CA,10/9/20,5024,7154
CT,10/9/20,504,1046
ID,10/9/20,193,298
MD,10/9/20,953,1270
AL,10/10/20,1281,1524
AR,10/10/20,728,941
CA,10/10/20,4894,7051
CT,10/10/20,504,1046
ID,10/10/20,200,298
MD,10/10/20,931,1265
GA,9/10/20,1659,1965
IN,9/10/20,1444,2318
KS,9/10/20,497,649
LA,9/10/20,1250,1718
MI,9/10/20,1656,2173
GA,9/11/20,1663,1975
IN,9/11/20,1416,2312
KS,9/11/20,503,647
LA,9/11/20,1238,1688
MI,9/11/20,1652,2173
GA,9/12/20,1660,1969
IN,9/12/20,1382,2293
KS,9/12/20,495,648
LA,9/12/20,1227,1716
MI,9/12/20,1639,2174
GA,9/13/20,1635,1961
IN,9/13/20,1339,2295
KS,9/13/20,470,650
LA,9/13/20,1180,1700
MI,9/13/20,1596,2183
GA,9/14/20,1609,1956
IN,9/14/20,1343,2293
KS,9/14/20,474,652
LA,9/14/20,1170,1692
MI,9/14/20,1620,2148
GA,9/15/20,1632,1966
IN,9/15/20,1397,2298
KS,9/15/20,509,664
LA,9/15/20,1196,1710
MI,9/15/20,1648,2152
GA,9/16/20,1672,1972
IN,9/16/20,1424,2326
KS,9/16/20,522,675
LA,9/16/20,1209,1718
MI,9/16/20,1691,2174
GA,9/17/20,1641,1973
IN,9/17/20,1429,2312
KS,9/17/20,517,673
LA,9/17/20,1218,1719
MI,9/17/20,1698,2202
GA,9/18/20,1642,1953
IN,9/18/20,1405,2311
KS,9/18/20,514,669
LA,9/18/20,1247,1709
MI,9/18/20,1646,2192
GA,9/19/20,1630,1945
IN,9/19/20,1269,2312
KS,9/19/20,506,669
LA,9/19/20,1242,1734
MI,9/19/20,1579,2182
GA,9/20/20,1556,1936
IN,9/20/20,1275,2311
KS,9/20/20,499,655
LA,9/20/20,1189,1727
MI,9/20/20,1556,2194
GA,9/21/20,1903,2465
IN,9/21/20,1259,2323
KS,9/21/20,516,662
LA,9/21/20,1175,1707
MI,9/21/20,1563,2185
GA,9/22/20,1950,2472
IN,9/22/20,1367,2319
KS,9/22/20,525,662
LA,9/22/20,1203,1688
MI,9/22/20,1655,2185
GA,9/23/20,1945,2461
IN,9/23/20,1400,2325
KS,9/23/20,528,663
LA,9/23/20,1254,1717
MI,9/23/20,1669,2189
GA,9/24/20,1952,2467
IN,9/24/20,1434,2327
KS,9/24/20,524,669
LA,9/24/20,1235,1690
MI,9/24/20,1669,2184
GA,9/25/20,1941,2447
IN,9/25/20,1425,2322
KS,9/25/20,528,667
LA,9/25/20,1800,2429
MI,9/25/20,1665,2185
GA,9/26/20,1951,2451
IN,9/26/20,1395,2312
KS,9/26/20,498,666
LA,9/26/20,1743,2461
MI,9/26/20,1623,2185
GA,9/27/20,1975,2451
IN,9/27/20,1367,2312
KS,9/27/20,485,666
LA,9/27/20,1160,1717
MI,9/27/20,1568,2198
GA,9/28/20,2034,2472
IN,9/28/20,1359,2318
KS,9/28/20,484,670
LA,9/28/20,1135,1697
MI,9/28/20,1872,2539
GA,9/29/20,2120,2503
IN,9/29/20,1410,2255
KS,9/29/20,508,673
LA,9/29/20,1214,1706
MI,9/29/20,1942,2538
GA,9/30/20,2106,2521
IN,9/30/20,1383,2244
KS,9/30/20,521,671
LA,9/30/20,1206,1711
MI,9/30/20,1959,2564
GA,10/1/20,2082,2536
IN,10/1/20,1475,2239
